139.082000,
135.585000,
139.467000,
139.468000,
148.366000,
146.052000,
147.472000,
153.577000,
144.074000,
149.427000,
145.236000,
139.508000,
138.548000,
154.031000,
141.668000,
136.769000,
136.533000,
151.393000,
139.859000,
144.463000,
