17.054000,
17.392000,
19.856000,
20.886000,
18.466000,
17.741000,
18.138000,
17.039000,
16.958000,
17.139000,
16.907000,
17.367000,
16.711000,
17.475000,
16.813000,
16.646000,
16.923000,
16.789000,
18.258000,
18.649000,
16.744000,
17.470000,
17.170000,
17.206000,
16.713000,
16.747000,
16.917000,
16.914000,
16.827000,
19.940000,
18.967000,
19.235000,
18.551000,
19.550000,
19.727000,
18.483000,
18.604000,
19.574000,
22.429000,
20.671000,
18.734000,
18.167000,
18.285000,
18.995000,
19.896000,
22.774000,
17.882000,
18.172000,
17.890000,
17.754000,
19.409000,
17.525000,
16.930000,
17.149000,
17.290000,
16.996000,
17.136000,
16.839000,
17.192000,
16.867000,
17.119000,
17.095000,
16.841000,
16.910000,
17.231000,
17.613000,
16.950000,
17.027000,
17.685000,
17.646000,
17.148000,
16.850000,
16.984000,
16.900000,
17.874000,
16.854000,
17.323000,
17.006000,
17.068000,
17.642000,
17.151000,
18.192000,
39.988000,
17.559000,
17.335000,
16.810000,
17.163000,
16.869000,
17.800000,
17.016000,
18.046000,
17.007000,
16.663000,
16.752000,
16.800000,
18.315000,
17.775000,
16.710000,
16.953000,
17.097000,
16.833000,
17.811000,
16.687000,
16.812000,
16.755000,
17.074000,
16.924000,
16.772000,
17.260000,
16.898000,
16.767000,
16.820000,
16.757000,
17.127000,
16.897000,
16.662000,
17.074000,
16.673000,
17.185000,
17.547000,
16.634000,
16.637000,
16.987000,
16.857000,
16.616000,
16.625000,
16.783000,
16.749000,
16.740000,
17.693000,
17.239000,
16.761000,
17.164000,
16.967000,
17.071000,
16.897000,
17.484000,
17.474000,
16.960000,
16.930000,
16.758000,
16.815000,
16.975000,
16.918000,
16.813000,
17.693000,
17.554000,
16.794000,
17.760000,
17.487000,
17.148000,
17.150000,
17.024000,
17.752000,
18.164000,
18.669000,
19.383000,
26.923000,
17.986000,
17.955000,
17.611000,
18.567000,
19.280000,
22.911000,
18.903000,
17.997000,
20.442000,
19.996000,
17.222000,
17.035000,
17.266000,
16.952000,
18.270000,
18.046000,
17.863000,
18.177000,
18.041000,
17.815000,
17.822000,
17.863000,
17.940000,
18.097000,
18.153000,
18.374000,
20.505000,
18.441000,
19.104000,
19.585000,
18.304000,
18.709000,
18.915000,
17.983000,
23.016000,
19.550000,
20.187000,
24.032000,
18.091000,
19.350000,
19.742000,
18.617000,
